"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pes",0.0769142288281246,-0.403030957830466,0.138,0.157,1
"ND-ASHI",0.0774347576058792,-0.353504398577182,0.088,0.105,1
"Ythdc1",0.0794830647465944,0.256747663847349,0.107,0.087,1
"Idh",0.0816095108033682,-0.402326680174803,0.101,0.119,1
"Sam-S",0.082079499642182,-0.311108332148549,0.219,0.239,1
"Pdhb",0.0892606848557446,0.315047805853556,0.12,0.099,1
"tyf",0.0897318540050875,0.250820996191006,0.154,0.13,1
"CG4607",0.10922300574195,0.270730833131705,0.115,0.096,1
"fwd",0.110084683133023,0.263403610285577,0.1,0.082,1
"VhaM9.7-b",0.111831865060347,-0.289511683807654,0.097,0.113,1
"IM33",0.119138538542337,-0.361188619126166,0.089,0.105,1
"ATPsynO",0.129288350256295,-0.281425297942246,0.208,0.223,1
"ND-B12",0.149380112120958,-0.274580278204037,0.172,0.187,1
"lgs",0.153398829162052,-0.277853197166098,0.132,0.147,1
"alphaTub84B",0.154662633098655,-0.301461352679732,0.189,0.202,1
"Fhos",0.155710917394922,-0.42424324375514,0.357,0.36,1
"KCNQ",0.156903169244235,-0.253172902942435,0.223,0.237,1
"ND-B16.6",0.167580158031133,-0.285278948902673,0.14,0.155,1
"mtgo",0.172163945423982,0.292923951224756,0.134,0.117,1
"ATPsynD",0.18247602240229,-0.263796701179105,0.237,0.253,1
"mts",0.187563229550788,-0.341667336191608,0.103,0.117,1
"Dek",0.187888848408528,-0.324021852633993,0.107,0.12,1
"ctrip",0.206441805424091,-0.309854152258076,0.107,0.119,1
"ND-51",0.206464978753522,-0.314800711628725,0.102,0.113,1
"SdhA",0.240665516739604,-0.254163658777178,0.145,0.157,1
"vn",0.24512210391378,-0.286439322298799,0.101,0.113,1
"His3.3B",0.255918756439857,-0.265822744255685,0.172,0.181,1
"pnt",0.288300161334247,-0.259596629993943,0.106,0.118,1
"ND-13A",0.294500225064278,-0.350846577693986,0.105,0.114,1
"Men",0.343170322164945,0.336492991270192,0.12,0.11,1
"Rilpl",0.369758942908007,-0.262394990553331,0.093,0.102,1
"cg",0.382606124415963,-0.324735184965645,0.133,0.139,1
"Pink1",0.39111585116778,-0.343019732723805,0.108,0.115,1
"CG9171",0.399678147577262,-0.297866027023339,0.108,0.115,1
"sno",0.432080880492211,-0.302996307864325,0.095,0.102,1
"CG10911",0.791934711407269,-0.268507559415315,0.102,0.102,1
"zfh1",0.955952557072102,-0.25186682146307,0.141,0.136,1
