"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG31729",5.74334698748686e-08,-0.300811456826732,0.086,0.107,0.000720043411821228
"scyl",6.0357228883369e-08,-0.259635335120255,0.479,0.501,0.000756698578510797
"fus",6.40348073558708e-08,0.324736184231796,0.184,0.159,0.000802804379820552
"eIF2beta",7.30902382507922e-08,-0.262681932738815,0.164,0.191,0.000916332316950182
"Rip11",7.65220004843007e-08,0.307957896277709,0.264,0.238,0.000959356320071678
"klu",8.18720168897139e-08,-0.344077303386109,0.103,0.125,0.00102642947574634
"CG32121",8.18856522421129e-08,0.387673245276591,0.264,0.243,0.00102660042215937
"unk",8.69177473367105e-08,0.402684548238722,0.11,0.088,0.00108968779836034
"clu",9.24206895743323e-08,-0.360239937543522,0.095,0.116,0.0011586781851934
"Ucp4A",9.7516835504973e-08,0.413317173767262,0.109,0.088,0.00122256856672585
"lncRNA:CR45361",9.76413119598211e-08,-0.395176141301032,0.086,0.106,0.00122412912804028
"S",9.79091335291929e-08,0.444659346029481,0.229,0.206,0.00122748680705549
"CG11155",1.01562880675853e-07,0.357659617535052,0.199,0.174,0.00127329383503317
"MRP",1.20649158225588e-07,0.260545750036399,0.273,0.244,0.00151257849667419
"CG17683",1.22494827342453e-07,0.395913813023053,0.13,0.108,0.00153571765039234
"sw",1.27102102836145e-07,0.480290510042943,0.11,0.089,0.00159347906325674
"RhoGAPp190",1.29636296971595e-07,0.30288441860523,0.201,0.175,0.00162525025513289
"arm",1.46839687360109e-07,0.377285582423234,0.14,0.118,0.00184092916043368
"Zn72D",1.47019708304123e-07,0.395346784274395,0.109,0.089,0.00184318608300879
"Moca-cyp",1.50660735611488e-07,0.292509346170648,0.185,0.159,0.00188883364236122
"CG7378",1.5359649429831e-07,0.303012854116676,0.427,0.414,0.00192563924901791
"CG10915",1.55480915213351e-07,0.338174225209998,0.127,0.105,0.00194926423402978
"CG5028",1.57634175441849e-07,0.301089793139176,0.152,0.127,0.00197625965751446
"jing",1.65455450258914e-07,0.254347482806998,0.359,0.334,0.00207431497989601
"Hers",1.72421128340666e-07,-0.369723215582011,0.411,0.419,0.00216164368600694
"CG5445",1.87497389825563e-07,0.498172262998109,0.1,0.081,0.00235065477624308
"toc",2.04436258277569e-07,0.2969133732843,0.289,0.266,0.00256301737002588
"asRNA:CR44029",2.29394297213197e-07,-0.28213511346273,0.098,0.12,0.00287591630416185
"CG4911",3.17604029400164e-07,0.328074925878636,0.189,0.165,0.00398180171658986
"ogre",3.37066165056337e-07,-0.28887576766112,0.111,0.132,0.00422579851131129
"CG42663",3.38899288888099e-07,0.290147276836635,0.129,0.107,0.0042487803847901
"Atx2",3.4096505642053e-07,0.28971172337559,0.179,0.155,0.00427467891234418
"CG1513",3.69807508336099e-07,0.262104264376252,0.123,0.102,0.00463627673200967
"CG41128",4.00649841847977e-07,-0.255464994815165,0.152,0.176,0.00502294706724808
"CG8745",4.12650450425164e-07,0.614388737129488,0.119,0.1,0.00517339869698029
"crc",4.58770598474187e-07,0.341342303603231,0.212,0.189,0.00575160699307089
"Rab11",4.92032023925955e-07,0.366807052612976,0.218,0.195,0.0061686054839597
"CG12290",4.93064612977186e-07,0.316149386340792,0.132,0.11,0.00618155105289499
"orb2",5.13410291000365e-07,-0.260107021582296,0.175,0.2,0.00643662481827158
"ND-13B",5.35815078825377e-07,-0.301789724797808,0.099,0.119,0.00671751364323375
"Gyg",5.88323293435333e-07,0.279204658533321,0.259,0.231,0.00737580912979877
"SC35",6.19150385312885e-07,-0.272645780077506,0.149,0.172,0.00776228838066764
"CG11030",6.31519951801276e-07,0.299712502966377,0.163,0.14,0.00791736563573259
"Mkp3",7.59106889365516e-07,0.548121875776111,0.271,0.249,0.00951692307197547
"Opa1",8.0870165919037e-07,0.280392857854927,0.206,0.183,0.0101386927012697
"ssp3",8.10649294849386e-07,0.309434626510524,0.16,0.138,0.0101631102095268
"stai",8.12013833963862e-07,-0.377184124029133,0.146,0.167,0.0101802174364049
"VhaAC45",8.6101954375113e-07,0.280545202850408,0.109,0.089,0.0107946020200079
"Rok",9.20280969079742e-07,0.268431213109672,0.219,0.195,0.0115375625093527
"mlt",9.39178134288711e-07,0.283474590035367,0.113,0.093,0.0117744762695776
